docid	title	date_year	decade	recipient	recipient_id	recipient_short	recipient_gender	recipient_type	n_words
BC_1763_EMONTAGU_EV_3	Letter from Elizabeth Montagu to Elizabeth Vesey	1763	1760	Elizabeth Vesey	#EV	Elizabeth Vesey	female	friends	205
BC_1750_EMONTAGU_LB_1	Letter from Elizabeth Montagu to Lydia Catherina Brydges, the Duchess of Chandos	1750	1740	Lydia Catherine Brydges née Vanhatten, 3rd Duchess of Chandos	#LB	Lydia Catherine Brydges née Vanhatten	female	acquaintances	750
BC_1760_EMONTAGU_GL_3	Letter from Elizabeth Montagu to George Lyttelton, Baron Lyttelton	1760	1750	George Lyttelton, 1st Baron Lyttelton of Frankley	#GL	George Lyttelton	male	friends	1009
BC_1742_EMONTAGU_MB_4	Letter from Elizabeth Montagu to the Duchess of Portland	1742	1740	Margaret Cavendish Bentinck née Harley, 2nd Duchess of Portland	#MB	Margaret Cavendish Bentinck née Harley	female	friends	190
BC_1758_EMONTAGU_ED_1	Letter from Elizabeth Montagu to Edward Montagu	1758	1750	Edward Montagu, Esq.	#ED	Edward Montagu	male	nuclear family	295
BC_1750_EMONTAGU_SS_2	Letter from Elizabeth Montagu to Sarah Robinson	1750	1740	Sarah Scott née Robinson	#SS	Sarah Scott née Robinson	female	nuclear family	320
BC_1749_EMONTAGU_SS	Letter from Elizabeth Montagu to Sarah Robinson	1749	1740	Sarah Scott née Robinson	#SS	Sarah Scott née Robinson	female	nuclear family	962
BC_1768_EMONTAGU_ED_5	Letter from Elizabeth Montagu to Edward Montagu	1768	1760	Edward Montagu, Esq.	#ED	Edward Montagu	male	nuclear family	349
BC_1767_EMONTAGU_GL	Letter from Elizabeth Montagu to Lord Lyttelton	1767	1760	George Lyttelton, 1st Baron Lyttelton of Frankley	#GL	George Lyttelton	male	friends	1065
BC_1760_EMONTAGU_WP_2	Letter from Elizabeth Montagu to Lord Bath	1760	1750	William Pulteney, 1st Earl of Bath	#WP	William Pulteney	male	friends	291
BC_1758_EMONTAGU_ED_3	Letter from Elizabeth Montagu to Edward Montagu	1758	1750	Edward Montagu, Esq.	#ED	Edward Montagu	male	nuclear family	219
BC_1766_EMONTAGU_EV_2	Letter from Elizabeth Montagu to Elizabeth Vesey	1766	1760	Elizabeth Vesey	#EV	Elizabeth Vesey	female	friends	474
BC_175x_EMONTAGU_SS	Letter from Elizabeth Montagu to Sarah Scott			Sarah Scott née Robinson	#SS	Sarah Scott née Robinson	female	nuclear family	295
BC_1776_EMONTAGU_EC	Letter from Elizabeth Montagu to Elizabeth Carter	1776	1770	Elizabeth Carter	#EC	Elizabeth Carter	female	friends	389
BC_1760_EMONTAGU_GL_1	Letter from Elizabeth Montagu to George Lyttelton	1760	1750	George Lyttelton, 1st Baron Lyttelton of Frankley	#GL	George Lyttelton	male	friends	1894
BC_1761_EMONTAGU_SS_2	Letter from Elizabeth Montagu to Sarah Scott	1761	1760	Sarah Scott née Robinson	#SS	Sarah Scott née Robinson	female	nuclear family	1066
BC_1763_EMONTAGU_EV_1	Letter from Elizabeth Montagu to Elizabeth Vesey	1763	1760	Elizabeth Vesey	#EV	Elizabeth Vesey	female	friends	257
